area_code,area,year,population,land_co2,agri_ch4,agri_n2o,agri_co2,production,harvest,yield
2,Afghanistan,1995,17099.5,0.0484,500.464,18.2232,18847.6,15209900.0,9595280.0,2498130.0
2,Afghanistan,1996,17822.9,0.3602,563.126,19.7208,20848.8,15125500.0,9589910.0,2498140.0
2,Afghanistan,1997,18381.6,0.2134,616.827,21.761,22920.3,16389500.0,9635170.0,2502390.0
2,Afghanistan,1998,18864.0,0.5836,657.556,23.7082,24654.2,16994900.0,9820510.0,2508840.0
2,Afghanistan,1999,19403.7,0.16,719.042,25.525,26791.5,15117000.0,8966890.0,2519390.0
2,Afghanistan,2000,20093.8,1.2718,616.971,21.9721,23027.8,10789700.0,8413300.0,2513850.0
2,Afghanistan,2001,20966.5,0.0,513.756,19.2037,19600.6,11406400.0,7417160.0,2562590.0
2,Afghanistan,2002,21979.9,0.0,656.953,22.5194,24130.5,16645100.0,8009510.0,2588200.0
2,Afghanistan,2003,23064.9,0.0,680.254,23.7985,25114.2,18641500.0,10446200.0,2555040.0
2,Afghanistan,2004,24119.0,0.0,668.215,23.0735,24621.5,15980000.0,9426000.0,2630900.0
2,Afghanistan,2005,25070.8,0.0,680.206,24.038,25322.8,22170600.0,10622300.0,2522220.0
2,Afghanistan,2006,25893.4,0.3878,692.065,22.832,25029.5,20033900.0,10309400.0,2499310.0
2,Afghanistan,2007,26616.8,0.0,703.858,22.322,25045.2,23612400.0,10422900.0,2576150.0
2,Afghanistan,2008,27294.0,0.0,786.024,24.3154,27645.1,17906500.0,9503990.0,2617160.0
2,Afghanistan,2009,28004.3,0.3878,799.554,25.9409,28712.8,26265100.0,11002100.0,3023180.0
2,Afghanistan,2010,28803.2,0.0,923.508,28.8958,32633.6,24087700.0,10323600.0,2696800.0
2,Afghanistan,2011,29708.6,0.0,922.798,29.3346,32861.1,19509400.0,9754640.0,2665940.0
2,Afghanistan,2012,30697.0,0.0,910.617,29.545,32704.2,25185000.0,10782000.0,2706550.0
2,Afghanistan,2013,31731.7,0.0,903.054,29.8243,32679.2,25685900.0,10877200.0,2771580.0
2,Afghanistan,2014,32758.0,0.0,918.106,31.8415,33934.6,27454000.0,11542400.0,2714340.0
2,Afghanistan,2015,33736.5,0.0,869.998,28.6654,31451.9,24821000.0,9692370.0,2412910.0
2,Afghanistan,2016,34656.0,0.0,852.536,31.4926,32398.4,26508900.0,10113700.0,2187110.0
2,Afghanistan,2017,35530.1,,828.956,33.0108,32592.4,23035400.0,8565170.0,2519580.0
2,Afghanistan,2018,36373.2,,,,,,,
2,Afghanistan,2019,37209.0,,,,,,,
2,Afghanistan,2020,38054.9,,,,,,,
2,Afghanistan,2021,38913.7,,,,,,,
2,Afghanistan,2022,39779.1,,,,,,,
2,Afghanistan,2023,40649.2,,,,,,,
2,Afghanistan,2024,41520.0,,,,,,,
2,Afghanistan,2025,42388.4,,,,,,,
2,Afghanistan,2026,43254.4,,,,,,,
2,Afghanistan,2027,44119.3,,,,,,,
2,Afghanistan,2028,44982.3,,,,,,,
2,Afghanistan,2029,45842.7,,,,,,,
2,Afghanistan,2030,46699.5,,1034.98,38.3422,39337.9,,,
2,Afghanistan,2031,47552.3,,,,,,,
2,Afghanistan,2032,48400.3,,,,,,,
2,Afghanistan,2033,49242.8,,,,,,,
2,Afghanistan,2034,50078.8,,,,,,,
2,Afghanistan,2035,50907.6,,,,,,,
2,Afghanistan,2036,51728.3,,,,,,,
2,Afghanistan,2037,52540.4,,,,,,,
2,Afghanistan,2038,53342.7,,,,,,,
2,Afghanistan,2039,54134.2,,,,,,,
2,Afghanistan,2040,54914.1,,,,,,,
2,Afghanistan,2041,55681.7,,,,,,,
2,Afghanistan,2042,56436.3,,,,,,,
2,Afghanistan,2043,57177.1,,,,,,,
2,Afghanistan,2044,57903.4,,,,,,,
2,Afghanistan,2045,58614.3,,,,,,,
2,Afghanistan,2046,59309.4,,,,,,,
2,Afghanistan,2047,59988.2,,,,,,,
2,Afghanistan,2048,60650.8,,,,,,,
2,Afghanistan,2049,61297.4,,,,,,,
2,Afghanistan,2050,61928.1,,1368.75,53.3696,53251.2,,,
2,Afghanistan,2051,62542.6,,,,,,,
2,Afghanistan,2052,63140.6,,,,,,,
2,Afghanistan,2053,63721.9,,,,,,,
2,Afghanistan,2054,64286.4,,,,,,,
2,Afghanistan,2055,64833.9,,,,,,,
2,Afghanistan,2056,65364.2,,,,,,,
2,Afghanistan,2057,65877.1,,,,,,,
2,Afghanistan,2058,66372.2,,,,,,,
2,Afghanistan,2059,66849.1,,,,,,,
2,Afghanistan,2060,67307.3,,,,,,,
2,Afghanistan,2061,67746.6,,,,,,,
2,Afghanistan,2062,68166.8,,,,,,,
2,Afghanistan,2063,68567.9,,,,,,,
2,Afghanistan,2064,68949.7,,,,,,,
2,Afghanistan,2065,69312.2,,,,,,,
2,Afghanistan,2066,69655.3,,,,,,,
2,Afghanistan,2067,69978.7,,,,,,,
2,Afghanistan,2068,70282.2,,,,,,,
2,Afghanistan,2069,70565.5,,,,,,,
2,Afghanistan,2070,70828.6,,,,,,,
2,Afghanistan,2071,71071.2,,,,,,,
2,Afghanistan,2072,71293.6,,,,,,,
2,Afghanistan,2073,71495.2,,,,,,,
2,Afghanistan,2074,71675.8,,,,,,,
2,Afghanistan,2075,71835.2,,,,,,,
2,Afghanistan,2076,71973.3,,,,,,,
2,Afghanistan,2077,72090.6,,,,,,,
2,Afghanistan,2078,72187.6,,,,,,,
2,Afghanistan,2079,72265.3,,,,,,,
2,Afghanistan,2080,72324.4,,,,,,,
2,Afghanistan,2081,72365.5,,,,,,,
2,Afghanistan,2082,72388.7,,,,,,,
2,Afghanistan,2083,72394.7,,,,,,,
2,Afghanistan,2084,72383.7,,,,,,,
2,Afghanistan,2085,72356.3,,,,,,,
2,Afghanistan,2086,72312.9,,,,,,,
2,Afghanistan,2087,72254.2,,,,,,,
2,Afghanistan,2088,72180.9,,,,,,,
2,Afghanistan,2089,72093.7,,,,,,,
2,Afghanistan,2090,71993.3,,,,,,,
2,Afghanistan,2091,71880.4,,,,,,,
2,Afghanistan,2092,71755.6,,,,,,,
2,Afghanistan,2093,71619.5,,,,,,,
2,Afghanistan,2094,71472.8,,,,,,,
2,Afghanistan,2095,71316.1,,,,,,,
2,Afghanistan,2096,71150.2,,,,,,,
2,Afghanistan,2097,70975.8,,,,,,,
2,Afghanistan,2098,70793.7,,,,,,,
2,Afghanistan,2099,70604.6,,,,,,,
2,Afghanistan,2100,70409.6,,,,,,,
3,Albania,1950,1263.17,,,,,,,
3,Albania,1951,1287.5,,,,,,,
3,Albania,1952,1316.09,,,,,,,
3,Albania,1953,1348.1,,,,,,,
3,Albania,1954,1382.88,,,,,,,
3,Albania,1955,1419.97,,,,,,,
3,Albania,1956,1459.09,,,,,,,
3,Albania,1957,1500.15,,,,,,,
3,Albania,1958,1543.22,,,,,,,
3,Albania,1959,1588.48,,,,,,,
3,Albania,1960,1636.06,,,,,,,
3,Albania,1961,1685.9,,118.022,4.2878,4373.06,1834740.0,1511160.0,959762.0
3,Albania,1962,1737.64,,119.158,4.2982,4401.99,1851620.0,1451890.0,913853.0
3,Albania,1963,1790.53,,118.707,4.2302,4361.16,1880000.0,1400560.0,923371.0
3,Albania,1964,1843.59,,119.333,4.2797,4396.21,2191530.0,1537420.0,1076710.0
3,Albania,1965,1896.13,,127.955,4.5426,4691.98,2036090.0,1477110.0,923236.0
3,Albania,1966,1947.79,,127.467,4.5884,4702.71,2593410.0,1508390.0,1094240.0
3,Albania,1967,1998.69,,128.952,4.8029,4831.69,2793450.0,1552810.0,1067850.0
3,Albania,1968,2049.15,,119.642,4.9299,4702.11,2896390.0,1515940.0,1048360.0
3,Albania,1969,2099.65,,117.958,4.6853,4552.84,2929320.0,1526090.0,967684.0
3,Albania,1970,2150.6,,117.324,4.9133,4645.81,3093970.0,1544480.0,1091160.0
3,Albania,1971,2202.03,,112.777,5.0977,4638.78,3079220.0,1492730.0,1121720.0
3,Albania,1972,2253.84,,110.473,5.0724,4580.17,3244910.0,1561480.0,1130240.0
3,Albania,1973,2306.0,,113.318,5.2849,4736.23,3422000.0,1582800.0,1191720.0
3,Albania,1974,2358.46,,117.43,5.3958,4868.92,3575160.0,1586560.0,1211680.0
3,Albania,1975,2411.23,,118.985,5.432,4916.61,3686440.0,1559800.0,1210830.0
3,Albania,1976,2464.34,,126.209,6.091,5367.23,4382240.0,1647100.0,1208200.0
3,Albania,1977,2517.87,,131.854,6.4332,5638.24,4627730.0,1669800.0,1228550.0
3,Albania,1978,2571.85,,140.857,7.5615,6342.31,4795260.0,1667000.0,1230350.0
3,Albania,1979,2626.29,,147.088,7.7042,6533.05,5081070.0,1709500.0,1328760.0
3,Albania,1980,2681.24,,151.543,7.8021,6668.98,4676390.0,1765030.0,1206070.0
3,Albania,1981,2735.33,,154.942,8.0573,6855.53,4894390.0,1730900.0,1299350.0
3,Albania,1982,2788.31,,156.192,8.067,6885.15,5195140.0,1708200.0,1359970.0
3,Albania,1983,2842.62,,158.546,8.2935,7038.17,5709400.0,1683700.0,1507770.0
3,Albania,1984,2901.59,,158.701,8.3923,7087.5,5378290.0,1632200.0,1430570.0
3,Albania,1985,2966.8,,152.228,8.2161,6875.75,5108220.0,1697340.0,1694170.0
3,Albania,1986,3041.01,,158.859,8.4281,7107.1,5369830.0,1712160.0,1821810.0
3,Albania,1987,3121.34,,170.859,8.4103,7338.98,5221710.0,1704900.0,1706970.0
3,Albania,1988,3197.07,,179.693,8.8213,7708.08,4720030.0,1715620.0,1501030.0
3,Albania,1989,3253.66,,182.999,9.4261,8055.86,5373060.0,1689580.0,2117910.0
3,Albania,1990,3281.45,201.752,176.064,9.0362,7735.31,4573910.0,1535210.0,4147220.0
3,Albania,1991,3275.43,201.752,178.315,6.7591,6723.41,2761610.0,1029280.0,5101780.0
3,Albania,1992,3240.59,201.752,177.195,6.4091,6540.2,3003520.0,1002540.0,5396780.0
3,Albania,1993,3189.58,201.752,188.858,6.8856,6996.35,3871080.0,1121810.0,5460310.0
3,Albania,1994,3140.59,201.752,241.316,8.4582,8778.95,3956620.0,1153110.0,5871250.0
3,Albania,1995,3106.74,201.752,246.738,8.4393,8877.86,3999660.0,1036710.0,5808680.0
3,Albania,1996,3092.23,188.564,232.986,7.4587,8137.79,3748400.0,976659.0,5470120.0
3,Albania,1997,3093.04,223.902,216.628,7.0042,7598.54,3897380.0,990879.0,5411100.0
3,Albania,1998,3103.76,194.383,205.427,7.2583,7491.7,4047100.0,983241.0,5470000.0
3,Albania,1999,3115.58,188.266,210.924,6.8952,7433.07,3663890.0,881553.0,5372360.0
3,Albania,2000,3121.97,304.905,214.601,7.2704,7679.88,3957660.0,860220.0,5524020.0
3,Albania,2001,3122.41,1728.48,209.574,7.0053,7456.56,3888690.0,805658.0,5693740.0
3,Albania,2002,3119.03,1700.05,204.07,7.9709,7793.34,3936030.0,778652.0,5689360.0
3,Albania,2003,3111.0,1722.48,206.559,8.0499,7879.52,3892280.0,781619.0,5661700.0
3,Albania,2004,3097.75,1699.91,198.822,7.7611,7588.19,4006110.0,759107.0,6355340.0
3,Albania,2005,3079.18,1701.07,197.381,7.7685,7562.14,4102620.0,759732.0,6248650.0
3,Albania,2006,3054.33,-497.917,193.901,7.4032,7323.89,4195230.0,751689.0,7574730.0
3,Albania,2007,3023.91,-11.494,182.868,7.2469,7021.66,4122910.0,702944.0,7365790.0
3,Albania,2008,2991.65,-489.177,170.915,6.8798,6616.75,4743280.0,797806.0,7647970.0
3,Albania,2009,2962.64,-489.625,162.496,6.8651,6440.7,4971400.0,777738.0,8235260.0
3,Albania,2010,2940.52,-496.108,163.439,6.8072,6432.51,5599070.0,778602.0,7979330.0
3,Albania,2011,2926.66,-600.926,162.226,7.0236,6504.41,5867010.0,788899.0,8797790.0
3,Albania,2012,2920.04,-602.268,165.188,7.0609,6582.64,6005980.0,787398.0,9315420.0
3,Albania,2013,2918.98,-791.611,165.714,6.9158,6529.43,6015630.0,784831.0,9026290.0
3,Albania,2014,2920.77,-793.55,167.662,7.0148,6614.12,6104140.0,794274.0,9128960.0
3,Albania,2015,2923.35,-759.058,168.615,7.2746,6755.84,6284230.0,753923.0,9348530.0
3,Albania,2016,2926.35,-790.183,167.786,7.4988,6845.51,6549900.0,770577.0,10147000.0
3,Albania,2017,2930.19,,163.944,7.2427,6648.21,6611360.0,771561.0,9806900.0
3,Albania,2018,2934.36,,,,,,,
3,Albania,2019,2938.43,,,,,,,
3,Albania,2020,2942.03,,,,,,,
3,Albania,2021,2944.8,,,,,,,
3,Albania,2022,2946.54,,,,,,,
3,Albania,2023,2947.34,,,,,,,
3,Albania,2024,2947.44,,,,,,,
3,Albania,2025,2946.99,,,,,,,
3,Albania,2026,2945.95,,,,,,,
3,Albania,2027,2944.15,,,,,,,
3,Albania,2028,2941.51,,,,,,,
3,Albania,2029,2937.96,,,,,,,
3,Albania,2030,2933.42,,202.441,8.612,8057.15,,,
3,Albania,2031,2927.86,,,,,,,
3,Albania,2032,2921.3,,,,,,,
3,Albania,2033,2913.72,,,,,,,
3,Albania,2034,2905.09,,,,,,,
3,Albania,2035,2895.45,,,,,,,
3,Albania,2036,2884.78,,,,,,,
3,Albania,2037,2873.13,,,,,,,
3,Albania,2038,2860.57,,,,,,,
3,Albania,2039,2847.18,,,,,,,
3,Albania,2040,2833.06,,,,,,,
3,Albania,2041,2818.26,,,,,,,
3,Albania,2042,2802.81,,,,,,,
3,Albania,2043,2786.78,,,,,,,
3,Albania,2044,2770.25,,,,,,,
3,Albania,2045,2753.27,,,,,,,
3,Albania,2046,2735.91,,,,,,,
3,Albania,2047,2718.19,,,,,,,
3,Albania,2048,2700.18,,,,,,,
3,Albania,2049,2681.96,,,,,,,
3,Albania,2050,2663.59,,201.058,8.7765,8100.8,,,
3,Albania,2051,2645.09,,,,,,,
3,Albania,2052,2626.5,,,,,,,
3,Albania,2053,2607.79,,,,,,,
3,Albania,2054,2588.99,,,,,,,
3,Albania,2055,2570.06,,,,,,,
3,Albania,2056,2551.02,,,,,,,
3,Albania,2057,2531.87,,,,,,,
3,Albania,2058,2512.6,,,,,,,
3,Albania,2059,2493.2,,,,,,,
3,Albania,2060,2473.67,,,,,,,
3,Albania,2061,2453.97,,,,,,,
3,Albania,2062,2434.13,,,,,,,
3,Albania,2063,2414.12,,,,,,,
3,Albania,2064,2393.92,,,,,,,
3,Albania,2065,2373.51,,,,,,,
3,Albania,2066,2352.89,,,,,,,
3,Albania,2067,2332.06,,,,,,,
3,Albania,2068,2311.03,,,,,,,
3,Albania,2069,2289.8,,,,,,,
3,Albania,2070,2268.39,,,,,,,
3,Albania,2071,2246.77,,,,,,,
3,Albania,2072,2224.99,,,,,,,
3,Albania,2073,2203.09,,,,,,,
3,Albania,2074,2181.09,,,,,,,
3,Albania,2075,2159.04,,,,,,,
3,Albania,2076,2136.96,,,,,,,
3,Albania,2077,2114.88,,,,,,,
3,Albania,2078,2092.81,,,,,,,
3,Albania,2079,2070.78,,,,,,,
3,Albania,2080,2048.79,,,,,,,
3,Albania,2081,2026.89,,,,,,,
3,Albania,2082,2005.09,,,,,,,
3,Albania,2083,1983.42,,,,,,,
3,Albania,2084,1961.9,,,,,,,
3,Albania,2085,1940.55,,,,,,,
3,Albania,2086,1919.4,,,,,,,
3,Albania,2087,1898.48,,,,,,,
3,Albania,2088,1877.8,,,,,,,
3,Albania,2089,1857.4,,,,,,,
3,Albania,2090,1837.28,,,,,,,
3,Albania,2091,1817.49,,,,,,,
3,Albania,2092,1798.03,,,,,,,
3,Albania,2093,1778.94,,,,,,,
3,Albania,2094,1760.23,,,,,,,
3,Albania,2095,1741.94,,,,,,,
3,Albania,2096,1724.06,,,,,,,
3,Albania,2097,1706.64,,,,,,,
3,Albania,2098,1689.69,,,,,,,
3,Albania,2099,1673.24,,,,,,,
3,Albania,2100,1657.31,,,,,,,
4,Algeria,1950,8872.25,,,,,,,
4,Algeria,1951,9039.91,,,,,,,
4,Algeria,1952,9216.4,,,,,,,
4,Algeria,1953,9405.44,,,,,,,
4,Algeria,1954,9609.5,,,,,,,
4,Algeria,1955,9829.72,,,,,,,
4,Algeria,1956,10065.8,,,,,,,
4,Algeria,1957,10316.3,,,,,,,
4,Algeria,1958,10578.4,,,,,,,
4,Algeria,1959,10849.0,,,,,,,
4,Algeria,1960,11124.9,,,,,,,
4,Algeria,1961,11404.9,,154.577,8.84,7329.38,10003300.0,10560000.0,1916290.0
4,Algeria,1962,11690.2,,145.755,9.2298,7324.4,14717600.0,11258800.0,1942920.0
4,Algeria,1963,11985.1,,126.665,8.3652,6522.33,14497500.0,11157400.0,1978740.0
4,Algeria,1964,12296.0,,136.511,8.3849,6735.12,11158600.0,10518400.0,1804020.0
4,Algeria,1965,12627.0,,161.409,9.7019,7867.96,12683700.0,10695800.0,1772230.0
4,Algeria,1966,12980.3,,167.42,9.6092,7956.54,7397920.0,7567940.0,1752090.0
4,Algeria,1967,13354.2,,197.588,11.6043,9511.16,10275400.0,9782210.0,1832790.0
4,Algeria,1968,13744.4,,206.808,12.6272,10177.6,13381200.0,11290900.0,1944910.0
4,Algeria,1969,14144.4,,212.561,13.1691,10549.8,12248900.0,11476100.0,1925270.0
4,Algeria,1970,14550.0,,215.568,14.0472,11020.1,13127800.0,12245800.0,1846890.0
4,Algeria,1971,14960.1,,219.687,15.232,11658.0,12319300.0,11384600.0,1924150.0
